# TYPE ceph gauge
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.17",type="used"} 447242240 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.19",type="used"} 8388608 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.18",type="used"} 154517816156 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.16",type="used"} 555683840 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.18",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.19",type="used"} 154839964350 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.15",type="used"} 484974592 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1b",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1a",type="used"} 153444248022 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.14",type="used"} 489676800 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1a",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1b",type="used"} 154290946050 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.13",type="used"} 527945728 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1d",type="used"} 20971520 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1c",type="used"} 154631917985 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.12",type="used"} 475639808 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1c",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1d",type="used"} 152981395761 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.11",type="used"} 514772992 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1f",type="used"} 90 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1e",type="used"} 153036530038 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.10",type="used"} 552595456 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.1e",type="used"} 16777216 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.1f",type="used"} 154624422488 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1f",type="used"} 503808000 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.11",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.10",type="used"} 155061914175 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1e",type="used"} 479416320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.10",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.11",type="used"} 155987554019 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1d",type="used"} 483229696 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.13",type="used"} 34 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.12",type="used"} 154635924613 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1c",type="used"} 481169676 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.12",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.13",type="used"} 152456087072 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1b",type="used"} 486772736 1450641689458
